dataset,method,model,mean,q90,std,raw
wine,CV,LOF,0.113,0.261,0.114,"[0.00125, 0, 0.01467, 0.30995, 0.155, 0, 0.20117000000000002, 0.0025, 0, 0.3024, 0.02293, 0.15249000000000001, 0.145, 0, 0.32856, 0.35404, 0, 0, 0.28428000000000003, 0.2483, 0, 0.25622, 0, 0, 0.30027, 0, 0.15, 0.2433, 0.23831, 0.24531, 0.1, 0.17468, 0.145, 0, 0, 0.2483, 0, 0.16952, 0, 0.0111, 0.002, 0.005, 0.14, 0.002, 0, 0, 0.24958, 0.28577, 0.25527, 0.138, 0.13, 0.16137, 0.2283, 0, 0, 0.25171, 0, 0, 0.004, 0.01, 0.24329, 0.164, 0, 0.22832, 0, 0.27972, 0.14, 0.01, 0, 0.15, 0, 0.24149, 0.31925, 0.25892, 0.1625, 0, 0, 0.16, 0.11, 0.06417, 0.1709, 0.165, 0.145, 0.00268, 0.12, 0.01, 0.14, 0.24065, 0, 0.18096, 0.040440000000000004, 0, 0, 0.25662, 0, 0.051000000000000004, 0, 0, 0.33408, 0.23654]"
wine,CV,PCA,0.016,0.041,0.035,"[0, 0, 0.00725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.035, 0, 0.00725, 0, 0.035, 0.08, 0, 0, 0, 0.06752, 0, 0, 0, 0, 0, 0, 0.055, 0.01, 0.006, 0.0225, 0, 0, 0, 0.0165, 0, 0, 0, 0, 0, 0.01167, 0.03, 0.0025, 0.025, 0, 0.17777, 0.20779, 0.12915, 0, 0, 0, 0, 0.024, 0.0295, 0, 0, 0.0151, 0, 0, 0.02416, 0.0475, 0.05166, 0, 0, 0, 0, 0.002, 0.02, 0, 0.03, 0, 0, 0, 0, 0, 0, 0.03, 0.025, 0.03651, 0.007, 0.03, 0, 0, 0, 0, 0.015, 0, 0, 0.0465, 0, 0, 0.0225, 0.025, 0.03999, 0, 0, 0, 0.13907, 0.017]"
wine,CV+,IForest,0.012,0.039,0.034,"[0.03117, 0.0075, 0.01175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.002, 0, 0, 0, 0, 0.03333, 0, 0.04917, 0, 0, 0, 0, 0.0, 0.0115, 0, 0.05166, 0, 0.0025, 0.015, 0, 0, 0, 0.0039299999999999995, 0.004, 0, 0, 0, 0, 0.002, 0.03833, 0, 0, 0.002, 0, 0, 0.07267, 0, 0, 0.035, 0, 0.0, 0, 0.0195, 0.002, 0, 0, 0, 0, 0, 0, 0.0025, 0.008, 0, 0, 0, 0, 0.008, 0.073, 0, 0, 0.08298, 0.002, 0, 0, 0, 0, 0.09765, 0.07447000000000001, 0, 0.25839, 0.11497, 0, 0, 0, 0, 0, 0.03166, 0, 0, 0.01, 0, 0, 0, 0, 0, 0.06665, 0]"
wine,CV+,LOF,0.107,0.264,0.113,"[0, 0, 0.30995, 0.00967, 0, 0.155, 0.22665, 0, 0, 0.3024, 0.00843, 0.25911, 0.32856, 0.145, 0, 0, 0, 0.30028, 0.26383, 0.2483, 0, 0.25039, 0, 0.15, 0, 0.2433, 0.26831, 0, 0.23831, 0.17, 0, 0.17468, 0, 0, 0.145, 0, 0.2483, 0, 0.11089, 0.00343, 0, 0, 0, 0.14, 0, 0.22691, 0, 0.28577, 0.26414, 0.137, 0.13, 0.2283, 0.16519, 0, 0, 0, 0, 0.26502000000000003, 0, 0, 0.24329, 0.22832, 0.17, 0, 0, 0.125, 0, 0.27972, 0, 0.01, 0, 0.24398, 0.18099, 0.16, 0.26595, 0, 0, 0.16, 0.03917, 0.09, 0.165, 0.1709, 0.145, 0.00125, 0.12, 0, 0.14, 0, 0.25198, 0.191, 0.04068, 0.25662, 0, 0, 0, 0, 0.02, 0, 0.33408, 0.23654]"
wine,CV+,PCA,0.014,0.035,0.035,"[0, 0, 0.013670000000000002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.035, 0, 0, 0.035, 0.0032500000000000003, 0, 0, 0, 0, 0.07352, 0, 0, 0, 0, 0, 0, 0.055, 0.01, 0.004, 0.0075, 0, 0, 0.0165, 0, 0, 0, 0, 0, 0, 0.002, 0.03, 0.0025, 0.025, 0, 0.12915, 0.17777, 0.20779, 0, 0.015340000000000001, 0, 0.0295, 0, 0, 0, 0.004, 0, 0, 0, 0.05166, 0.0175, 0.0475, 0.002, 0, 0, 0.02, 0, 0, 0, 0.03, 0, 0, 0, 0, 0, 0.03, 0, 0, 0.02315, 0.03, 0.007, 0, 0, 0, 0.015, 0, 0, 0, 0.0465, 0, 0, 0.0225, 0.025, 0.035, 0, 0, 0, 0.1427, 0.017]"
ionosphere,SC,IForest,0.027,0.112,0.05,"[0.026, 0.11333, 0, 0, 0, 0.0225, 0, 0.15831, 0.00486, 0.011, 0, 0.14746, 0, 0.06338, 0, 0, 0.15222, 0, 0.005, 0, 0, 0, 0.0275, 0.11554, 0.057, 0, 0, 0, 0, 0.11208, 0, 0, 0, 0.05856, 0.13962, 0, 0, 0, 0, 0.003, 0, 0, 0.0415, 0.015, 0.09354, 0.0907, 0, 0.08529, 0.18219, 0.19052, 0, 0, 0.003, 0.0075, 0.0415, 0, 0, 0, 0, 0, 0, 0, 0.0315, 0, 0, 0.0125, 0, 0, 0, 0, 0, 0.055, 0, 0, 0, 0, 0.0385, 0.19566, 0, 0.08473, 0, 0, 0.09899000000000001, 0.005, 0, 0, 0.04161, 0, 0, 0, 0.005, 0.0042899999999999995, 0, 0.0028599999999999997, 0, 0, 0.16085, 0, 0.0175, 0.008579999999999999]"
ionosphere,SC,LOF,0.075,0.21,0.088,"[0.12916, 0.015, 0.21598, 0.20169, 0.20968, 0.0375, 0, 0.166, 0, 0.055, 0.00804, 0.0975, 0.16402, 0.16333, 0.097, 0, 0.07706, 0.24294, 0.0225, 0, 0.09575, 0.1195, 0, 0.12279, 0.20603, 0, 0.2573, 0.1555, 0, 0.0075, 0.045, 0.06, 0.005719999999999999, 0, 0.07683, 0.03, 0, 0.02582, 0, 0.02501, 0, 0, 0.03, 0.161, 0.068, 0.09605, 0.22237, 0.0225, 0.21666, 0.14442, 0.0075, 0.061, 0, 0, 0, 0.0525, 0.02679, 0, 0.0805, 0, 0.01608, 0, 0.2412, 0, 0, 0.011439999999999999, 0, 0.34003, 0.019119999999999998, 0.15233, 0, 0, 0.22969, 0.18533, 0, 0.14079, 0.03, 0.015, 0.10654, 0.152, 0.19979, 0.04179, 0.091, 0.16204, 0, 0, 0.33051, 0.03, 0.0525, 0.18885, 0.31181, 0, 0.045, 0.0225, 0.0075, 0, 0.03282, 0.015, 0, 0]"
ionosphere,SC,PCA,0.067,0.231,0.095,"[0.04, 0.3012, 0.062, 0, 0, 0, 0.052, 0, 0.00905, 0.2425, 0.0075, 0.21536, 0.0028599999999999997, 0, 0.0645, 0, 0.1395, 0.33378, 0, 0, 0, 0.12279, 0, 0.015, 0, 0.24606, 0.33197, 0.11233, 0, 0, 0.29569, 0, 0, 0, 0, 0.14276, 0, 0, 0.018, 0, 0, 0, 0, 0.1025, 0.1545, 0.21827, 0.07906, 0.05, 0.21059, 0.1725, 0.01287, 0, 0.0795, 0.11183, 0, 0.0375, 0.015, 0, 0.0075, 0, 0, 0, 0.1255, 0.0075, 0.015, 0, 0.0075, 0, 0, 0.0075, 0.0075, 0.0535, 0, 0, 0.0385, 0.015, 0.1641, 0.146, 0.23136, 0, 0.0225, 0.2165, 0, 0.0042899999999999995, 0.23106000000000002, 0.26833, 0.27562, 0, 0.1135, 0.0225, 0, 0.073, 0.0335, 0.12083, 0, 0.055, 0, 0.015, 0.29741, 0.1155]"
ionosphere,J,IForest,0.127,0.289,0.108,"[0.40408, 0.22251, 0.2967, 0.23917, 0.3175, 0.18529, 0.12, 0, 0, 0.14268, 0.127, 0.02887, 0.28284, 0.012, 0.03786, 0.06415, 0.115, 0, 0.2185, 0.006, 0, 0.068, 0.15408, 0.0275, 0.19938, 0.021, 0, 0.17, 0.046, 0, 0.0415, 0.1, 0.16, 0.265, 0.24047, 0.34934, 0.16962, 0, 0.02858, 0.006, 0, 0.08, 0.20267, 0.34468, 0.28754, 0.34651, 0.01, 0.11068, 0.18338, 0.0775, 0.00555, 0.17, 0.046, 0.03667, 0.26618, 0.0925, 0, 0.28835, 0.06266, 0.03, 0.14, 0.3, 0.0475, 0.18, 0.09751, 0.11667, 0.15, 0, 0, 0.092, 0.15167, 0.09151, 0, 0.15, 0.24668, 0.17, 0.1675, 0.08424, 0.29233, 0, 0.32935, 0.12817, 0.23172, 0.09079, 0.033, 0.32102, 0.27343, 0.0175, 0.004, 0.15887, 0.0075, 0.033, 0.27745, 0.025, 0.1635, 0.06157, 0.17, 0.198, 0.06, 0.17867]"
ionosphere,J,LOF,0.419,0.589,0.122,"[0.52002, 0.44818, 0.36254, 0.43086, 0.35551, 0.31615, 0.48582000000000003, 0.30525, 0.34, 0.45333, 0.28458, 0.37101, 0.53603, 0.53145, 0.44434, 0.58838, 0.51223, 0.66, 0.44851, 0.47, 0.47387, 0.43969, 0.53418, 0.63803, 0.5558, 0.27, 0.51869, 0.2025, 0.49989, 0.18, 0.1235, 0.63, 0.35329, 0.41, 0.40138, 0.42119, 0.4626, 0.48, 0.3725, 0.35586, 0.3505, 0.30884, 0.30458, 0.36846, 0.45337, 0.49753000000000003, 0.67, 0.15846, 0.42, 0.46704, 0.59836, 0.299, 0.359, 0.73, 0.62837, 0.35, 0.44933, 0.45, 0.336, 0.39586, 0.346, 0.5185, 0.508, 0.39993, 0.35648, 0.369, 0.5113, 0.45471, 0.39096000000000003, 0.44939, 0.287, 0.58223, 0.18912, 0.5177, 0.53737, 0.256, 0.41518, 0.49802, 0.5, 0.50488, 0.40671, 0.19, 0.44363, 0.59091, 0.16, 0.35329, 0.59237, 0.38, 0.38068, 0.44055, 0.492, 0.35, 0.4175, 0.292, 0.2405, 0.34, 0.3615, 0.59429, 0.287, 0.25]"
ionosphere,J,PCA,0.271,0.402,0.077,"[0.37603000000000003, 0.38416, 0.22, 0.28482, 0.25779, 0.2475, 0.24, 0.26, 0.248, 0.30385, 0.2145, 0.26436, 0.37981, 0.235, 0.222, 0.183, 0.16908, 0.41983, 0.19, 0.2545, 0.31635, 0.2695, 0.43032, 0.24, 0.24517, 0.4015, 0.30483, 0.22458, 0.21, 0.19, 0.43518, 0.39669, 0.2675, 0.1875, 0.21, 0.26879, 0.29336, 0.24, 0.31428, 0.095, 0.2, 0.33587, 0.31518, 0.1875, 0.28, 0.2535, 0.1555, 0.30336, 0.41751, 0.40432, 0.26, 0.14, 0.40551, 0.198, 0.2575, 0.19, 0.26, 0.23, 0.221, 0.26918, 0.18, 0.18, 0.2735, 0.218, 0.19, 0.19, 0.30268, 0.26, 0.26, 0.257, 0.18, 0.25351, 0.24, 0.31784, 0.30503, 0.26, 0.31113999999999997, 0.183, 0.40997, 0.22, 0.41169, 0.36588, 0.267, 0.44375, 0.33152, 0.35162, 0.36919, 0.30885, 0.28801, 0.26, 0.2555, 0.223, 0.45701, 0.1935, 0.24, 0.29501, 0.32001, 0.165, 0.19, 0.22]"
ionosphere,J+,IForest,0.119,0.232,0.095,"[0.14, 0.142, 0.25846, 0.012, 0.1795, 0.2325, 0.33736, 0.19503, 0.0885, 0.23201, 0.0465, 0.39101, 0.0735, 0, 0.27817000000000003, 0.006, 0.05, 0.015, 0.20103000000000001, 0.127, 0.144, 0.1, 0.064, 0.0625, 0.0645, 0.076, 0.081, 0.051, 0.13, 0, 0.0545, 0.1, 0.0275, 0.19135, 0.12, 0.14416, 0.1435, 0.17, 0.06814, 0, 0.0435, 0.136, 0.14918, 0.29968, 0, 0.32714, 0.31836, 0.21552, 0.13483, 0.03129, 0.18, 0.19768, 0.00333, 0.03, 0, 0.19535, 0, 0.21, 0.10166, 0, 0.13, 0.006, 0.17, 0.15336, 0.031, 0.16, 0.07, 0.21, 0, 0.1185, 0.21501, 0.16, 0.02, 0.01, 0.127, 0.14, 0.1665, 0.16668, 0.04129, 0, 0.22117, 0.21, 0.20485, 0.39019, 0.10083, 0.26568, 0.018, 0.13, 0.1011, 0.036, 0.0195, 0.21733, 0.07112, 0.0695, 0.044, 0.16, 0.06, 0, 0, 0.0925]"
ionosphere,J+,LOF,0.419,0.589,0.122,"[0.30525, 0.52002, 0.34, 0.44818, 0.45333, 0.36254, 0.31615, 0.43086, 0.48582000000000003, 0.35551, 0.53603, 0.53145, 0.37101, 0.58838, 0.51223, 0.47, 0.28458, 0.44851, 0.66, 0.44434, 0.53418, 0.43969, 0.47387, 0.63803, 0.5558, 0.27, 0.2025, 0.49989, 0.51869, 0.18, 0.1235, 0.4626, 0.63, 0.35329, 0.48, 0.42369, 0.39738, 0.41, 0.3725, 0.35586, 0.3505, 0.30884, 0.30458, 0.49753000000000003, 0.36846, 0.45337, 0.15846, 0.67, 0.42, 0.46704, 0.59836, 0.299, 0.73, 0.359, 0.62837, 0.35, 0.45, 0.44933, 0.336, 0.39586, 0.346, 0.5185, 0.508, 0.39993, 0.44471, 0.35648, 0.5113, 0.44939, 0.369, 0.39096000000000003, 0.287, 0.18912, 0.5177, 0.58223, 0.256, 0.41518, 0.49802, 0.5, 0.53737, 0.50488, 0.40571, 0.19, 0.44363, 0.59091, 0.16, 0.35329, 0.59237, 0.38, 0.44055, 0.38068, 0.492, 0.35, 0.292, 0.4175, 0.2405, 0.3615, 0.59429, 0.25, 0.34, 0.287]"
ionosphere,J+,PCA,0.262,0.404,0.078,"[0.28482, 0.37435, 0.19, 0.32616, 0.2475, 0.26, 0.24, 0.262, 0.30135, 0.248, 0.26436, 0.215, 0.2145, 0.41983, 0.222, 0.37981, 0.183, 0.2435, 0.19, 0.17158, 0.31635, 0.255, 0.24, 0.43032, 0.41484, 0.1835, 0.22458, 0.30483, 0.19, 0.2, 0.42684, 0.21, 0.39669, 0.2575, 0.26, 0.24129, 0.1875, 0.24, 0.30828, 0.095, 0.27, 0.2, 0.2635, 0.4305, 0.2535, 0.1875, 0.40432, 0.30503, 0.143, 0.30217, 0.11, 0.26, 0.40551, 0.19, 0.24, 0.198, 0.24, 0.23, 0.215, 0.24, 0.18, 0.18, 0.218, 0.19, 0.22, 0.2595, 0.2735, 0.19, 0.246, 0.26, 0.18, 0.25351, 0.24, 0.24, 0.2395, 0.30503, 0.30614, 0.183, 0.42509, 0.19, 0.41069, 0.2525, 0.36388, 0.31919000000000003, 0.43857, 0.32818, 0.35062, 0.2505, 0.28801, 0.26, 0.2555, 0.1985, 0.45701, 0.1875, 0.29501, 0.22, 0.16, 0.29501, 0.19, 0.19]"
ionosphere,CV,IForest,0.111,0.265,0.1,"[0.10066, 0.05, 0.0075, 0.006, 0.11357, 0.28105, 0.23984, 0.0185, 0.04844, 0.17602, 0, 0.0175, 0.19168, 0, 0.26478, 0, 0.2195, 0.17762, 0.0075, 0.19, 0.12, 0.221, 0.22, 0.29144, 0.019, 0.165, 0, 0, 0.15, 0.01, 0.0835, 0.1005, 0.12, 0.07, 0.0335, 0, 0.145, 0.13, 0.29243, 0, 0.21917, 0, 0.30752, 0.03, 0.12, 0.3363, 0.23534, 0.21725, 0.0075, 0, 0.09, 0.01601, 0, 0.03, 0.0075, 0.01, 0, 0, 0, 0, 0, 0.19, 0.36022, 0.05, 0.09, 0.122, 0.1675, 0.12, 0.16, 0.12334, 0.17334, 0.15379, 0.16, 0, 0.14688, 0.18917, 0.08, 0.0975, 0.32721, 0.06, 0.34369, 0.054830000000000004, 0.093, 0.13266, 0.03, 0, 0.2964, 0.006, 0.09, 0.26963, 0.187, 0.08016, 0.13634, 0.03, 0.19853, 0.18667, 0.015, 0.04, 0.05, 0.20168]"
ionosphere,CV,LOF,0.426,0.589,0.119,"[0.42759, 0.32683, 0.46, 0.4215, 0.35287, 0.37368, 0.47105, 0.41152, 0.41968, 0.487, 0.51353, 0.53906, 0.5569500000000001, 0.41601, 0.34, 0.31606, 0.38809, 0.51387, 0.6, 0.42934, 0.52968, 0.5021, 0.39508, 0.35919, 0.6488700000000001, 0.32, 0.1425, 0.45752, 0.41923, 0.251, 0.2485, 0.39079, 0.59, 0.40166, 0.52872, 0.46799999999999997, 0.39054, 0.48603, 0.39287, 0.43218, 0.275, 0.26658, 0.1955, 0.54337, 0.32287, 0.65, 0.47288, 0.1605, 0.5357, 0.47086, 0.5925, 0.36833, 0.53568, 0.76, 0.62837, 0.49337000000000003, 0.25, 0.43087000000000003, 0.35978, 0.325, 0.2935, 0.518, 0.63, 0.27046, 0.50419, 0.46301, 0.2952, 0.38815, 0.284, 0.39021, 0.292, 0.58853, 0.289, 0.17927, 0.5724, 0.47418, 0.5, 0.45852, 0.4665, 0.4692, 0.40048, 0.39093, 0.396, 0.21, 0.5987, 0.38, 0.57009, 0.39496, 0.43901, 0.40863, 0.55369, 0.5192, 0.395, 0.39109, 0.39802, 0.39, 0.61, 0.50653, 0.34, 0.2725]"
ionosphere,CV,PCA,0.262,0.394,0.083,"[0.19, 0.29482, 0.36019, 0.22, 0.26333, 0.26, 0.191, 0.37003, 0.1825, 0.34537, 0.30118, 0.34685, 0.1855, 0.22436, 0.19, 0.30284, 0.39383, 0.30834, 0.1875, 0.1835, 0.34301, 0.42699, 0.40718, 0.20129, 0.41551, 0.21, 0.193, 0.19, 0.27067, 0.18, 0.42417, 0.285, 0.36835, 0.21, 0.25586, 0.24879, 0.255, 0.27, 0.19629, 0.0885, 0.19, 0.21, 0.31769000000000003, 0.30601, 0.1925, 0.31753, 0.36751, 0.41016, 0.0935, 0.11, 0.24, 0.29786, 0.39217, 0.198, 0.22, 0.2, 0.23, 0.215, 0.1935, 0.185, 0.18, 0.15, 0.2735, 0.263, 0.15, 0.19, 0.252, 0.19, 0.21, 0.263, 0.25351, 0.18, 0.19, 0.40451, 0.26668000000000003, 0.19, 0.31181, 0.183, 0.43387000000000003, 0.22, 0.295, 0.2325, 0.40051, 0.36586, 0.40248, 0.32118, 0.31934, 0.35001, 0.1955, 0.2525, 0.37919, 0.33634, 0.39368000000000003, 0.2775, 0.1975, 0.30918, 0.165, 0.2693, 0.19, 0.195]"
